"データID","FRPリスト名","型式確認","品番","図番"
"zcrm_7345477000025727751","CRKUFC-02C-5.25","CRKUFC-02C-5.25","030294000","CKU14-No37B"
"zcrm_7345477000025727797","CRKUFCT-10D-5.25","CRKUFCT-10D-5.25","030507000","CKU16-No35B"
"zcrm_7345477000025727833","CRKUFT-10D-5.25","CRKUFT-10D-5.25","030551000","CKU15-No35B"
"zcrm_7345477000025677897","CRKUR-02C-5.25S","CRKUR-02C-5.25S","021285000","CKU13-No01C"
"zcrm_7345477000025727889","CRKURC-02C-5.15","CRKURC-02C-5.15","030668000","CKU04-No13B"
"zcrm_7345477000025727978","CRKURCT-06C-5.15","CRKURCT-06C-5.15","031134000","CKU06-No13B"
"zcrm_7345477000025727075","CRKURT-06C-5.25S","CRKURT-06C-5.25S","021602000","CKU15-No02C"
"zcrm_7345477000025728077","CRKUSR-02B-5.15","CRKUSR-02B-5.15","031244000","CKU01-No13B"
"zcrm_7345477000025728143","CRKUSRC-02B-5.15","CRKUSRC-02B-5.15","031326000","CKU02-No13B"
"zcrm_7345477000010940127","FRPタンク（槽のみ）　縦型","CRK50-10D","026106000","CK01-No27A"
"zcrm_7345477000025727708","CRKUF-04C-5.25","CRKUF-04C-5.25","030033000","CKU13-No38B"
"zcrm_7345477000025727752","CRKUFC-04C-5.25","CRKUFC-04C-5.25","030295000","CKU14-No38B"
"zcrm_7345477000025727798","CRKUFCT-12D-5.25","CRKUFCT-12D-5.25","030508000","CKU16-No36B"
"zcrm_7345477000025727834","CRKUFT-12D-5.25","CRKUFT-12D-5.25","030552000","CKU15-No36B"
"zcrm_7345477000025677898","CRKUR-04C-5.25S","CRKUR-04C-5.25S","021286000","CKU13-No02C"
"zcrm_7345477000025727890","CRKURC-04C-5.15","CRKURC-04C-5.15","030696000","CKU04-No14B"
"zcrm_7345477000025727979","CRKURCT-07C-5.15","CRKURCT-07C-5.15","031135000","CKU06-No14B"
"zcrm_7345477000025727076","CRKURT-07C-5.25S","CRKURT-07C-5.25S","021603000","CKU15-No03C"
"zcrm_7345477000025728078","CRKUSR-04B-5.15","CRKUSR-04B-5.15","031245000","CKU01-No14B"
"zcrm_7345477000025728144","CRKUSRC-04B-5.15","CRKUSRC-04B-5.15","031327000","CKU02-No14B"
"zcrm_7345477000010940134","FRPタンク（槽のみ）　縦型","CRK50-10E","026107000","CK01-No35A"
"zcrm_7345477000025727709","CRKUF-06C-5.25","CRKUF-06C-5.25","030035000","CKU13-No39B"
"zcrm_7345477000025727753","CRKUFC-06C-5.25","CRKUFC-06C-5.25","030296000","CKU14-No39B"
"zcrm_7345477000025727799","CRKUFCT-15D-5.25","CRKUFCT-15D-5.25","030509000","CKU16-No37B"
"zcrm_7345477000025727835","CRKUFT-15D-5.25","CRKUFT-15D-5.25","030553000","CKU15-No37B"
"zcrm_7345477000025677899","CRKUR-06C-5.25S","CRKUR-06C-5.25S","021287000","CKU13-No03C"
"zcrm_7345477000025727891","CRKURC-06C-5.15","CRKURC-06C-5.15","030697000","CKU04-No15B"
"zcrm_7345477000025727980","CRKURCT-10C-5.15","CRKURCT-10C-5.15","031136000","CKU06-No15B"
"zcrm_7345477000025727077","CRKURT-10C-5.25S","CRKURT-10C-5.25S","021604000","CKU15-No04C"
"zcrm_7345477000025728079","CRKUSR-06B-5.15","CRKUSR-06B-5.15","031246000","CKU01-No15B"
"zcrm_7345477000025728145","CRKUSRC-06B-5.15","CRKUSRC-06B-5.15","031328000","CKU02-No15B"
"zcrm_7345477000010940108","FRPタンク（槽のみ）　縦型","CRK50-12B","026108000","CK01-No06A"
"zcrm_7345477000025727710","CRKUF-07C-5.25","CRKUF-07C-5.25","030037000","CKU13-No40B"
"zcrm_7345477000025727754","CRKUFC-07C-5.25","CRKUFC-07C-5.25","030297000","CKU14-No40B"
"zcrm_7345477000025727800","CRKUFCT-17D-5.25","CRKUFCT-17D-5.25","030510000","CKU16-No38B"
"zcrm_7345477000025727836","CRKUFT-17D-5.25","CRKUFT-17D-5.25","030554000","CKU15-No38B"
"zcrm_7345477000025677900","CRKUR-07C-5.25S","CRKUR-07C-5.25S","021288000","CKU13-No04C"
"zcrm_7345477000025727892","CRKURC-07C-5.15","CRKURC-07C-5.15","030711000","CKU04-No16B"
"zcrm_7345477000025727981","CRKURCT-12C-5.15","CRKURCT-12C-5.15","031137000","CKU06-No16B"
"zcrm_7345477000025727078","CRKURT-12C-5.25S","CRKURT-12C-5.25S","021605000","CKU15-No05C"
"zcrm_7345477000025728080","CRKUSR-07B-5.15","CRKUSR-07B-5.15","031247000","CKU01-No16B"
"zcrm_7345477000025728146","CRKUSRC-07B-5.15","CRKUSRC-07B-5.15","031329000","CKU02-No16B"
"zcrm_7345477000010940119","FRPタンク（槽のみ）　縦型","CRK50-12C","026109000","CK01-No18A"
"zcrm_7345477000025727711","CRKUF-10C-5.25","CRKUF-10C-5.25","030038000","CKU13-No41B"
"zcrm_7345477000025727755","CRKUFC-10C-5.25","CRKUFC-10C-5.25","030325000","CKU14-No41B"
"zcrm_7345477000025727801","CRKUFCT-18D-5.25","CRKUFCT-18D-5.25","030511000","CKU16-No39B"
"zcrm_7345477000025727837","CRKUFT-18D-5.25","CRKUFT-18D-5.25","030555000","CKU15-No39B"
"zcrm_7345477000025677901","CRKUR-10C-5.25S","CRKUR-10C-5.25S","021289000","CKU13-No05C"
"zcrm_7345477000025727893","CRKURC-10C-5.15","CRKURC-10C-5.15","030712000","CKU04-No17B"
"zcrm_7345477000025727982","CRKURCT-15C-5.15","CRKURCT-15C-5.15","031138000","CKU06-No17B"
"zcrm_7345477000025727079","CRKURT-15C-5.25S","CRKURT-15C-5.25S","021606000","CKU15-No06C"
"zcrm_7345477000025728081","CRKUSR-10B-5.15","CRKUSR-10B-5.15","031248000","CKU01-No17B"
"zcrm_7345477000025728147","CRKUSRC-10B-5.15","CRKUSRC-10B-5.15","031330000","CKU02-No17B"
"zcrm_7345477000010940128","FRPタンク（槽のみ）　縦型","CRK50-12D","026110000","CK01-No28A"
"zcrm_7345477000025727712","CRKUF-12C-5.25","CRKUF-12C-5.25","030039000","CKU13-No42B"
"zcrm_7345477000025727756","CRKUFC-12C-5.25","CRKUFC-12C-5.25","030326000","CKU14-No42B"
"zcrm_7345477000025727802","CRKUFCT-22D-5.25","CRKUFCT-22D-5.25","030513000","CKU16-No41B"
"zcrm_7345477000025727838","CRKUFT-22D-5.25","CRKUFT-22D-5.25","030557000","CKU15-No41B"
"zcrm_7345477000025677902","CRKUR-12C-5.25S","CRKUR-12C-5.25S","021290000","CKU13-No06C"
