"データID","FRPリスト名","型式確認","品番","図番"
"zcrm_7345477000025677820","CRKUSRC-02B-5.4S","CRKUSRC-02B-5.4S","021035000","CKU22-No01C"
"zcrm_7345477000025727261","CRKUF-04C-5.75","CRKUF-04C-5.75","022080000","CKU33-No26B"
"zcrm_7345477000025727327","CRKUFC-04C-5.75","CRKUFC-04C-5.75","022197000","CKU34-No26B"
"zcrm_7345477000025727879","CRKUR-04C-5.4","CRKUR-04C-5.4","030651000","CKU23-No14B"
"zcrm_7345477000025677997","CRKURC-04C-5.4S","CRKURC-04C-5.4S","021448000","CKU24-No02C"
"zcrm_7345477000025727178","CRKURCT-15C-5.4S","CRKURCT-15C-5.4S","021812000","CKU26-No06C"
"zcrm_7345477000025728052","CRKURT-15C-5.4","CRKURT-15C-5.4","031216000","CKU25-No17B"
"zcrm_7345477000025677733","CRKUSR-04B-5.4S","CRKUSR-04B-5.4S","020919000","CKU21-No02C"
"zcrm_7345477000025677821","CRKUSRC-04B-5.4S","CRKUSRC-04B-5.4S","021036000","CKU22-No02C"
"zcrm_7345477000025727262","CRKUF-06C-5.75","CRKUF-06C-5.75","022081000","CKU33-No27B"
"zcrm_7345477000025727328","CRKUFC-06C-5.75","CRKUFC-06C-5.75","022199000","CKU34-No27B"
"zcrm_7345477000025727880","CRKUR-06C-5.4","CRKUR-06C-5.4","030652000","CKU23-No15B"
"zcrm_7345477000025677998","CRKURC-06C-5.4S","CRKURC-06C-5.4S","021449000","CKU24-No03C"
"zcrm_7345477000025727179","CRKURCT-17C-5.4S","CRKURCT-17C-5.4S","021813000","CKU26-No07C"
"zcrm_7345477000025728053","CRKURT-17C-5.4","CRKURT-17C-5.4","031217000","CKU25-No18B"
"zcrm_7345477000025677734","CRKUSR-06B-5.4S","CRKUSR-06B-5.4S","020920000","CKU21-No03C"
"zcrm_7345477000025677822","CRKUSRC-06B-5.4S","CRKUSRC-06B-5.4S","021037000","CKU22-No03C"
"zcrm_7345477000025727263","CRKUF-07C-5.75","CRKUF-07C-5.75","022082000","CKU33-No28B"
"zcrm_7345477000025727329","CRKUFC-07C-5.75","CRKUFC-07C-5.75","022200000","CKU34-No28B"
"zcrm_7345477000025727881","CRKUR-07C-5.4","CRKUR-07C-5.4","030654000","CKU23-No16B"
"zcrm_7345477000025677999","CRKURC-07C-5.4S","CRKURC-07C-5.4S","021450000","CKU24-No04C"
"zcrm_7345477000025727180","CRKURCT-18C-5.4S","CRKURCT-18C-5.4S","021816000","CKU26-No08C"
"zcrm_7345477000025728054","CRKURT-18C-5.4","CRKURT-18C-5.4","031218000","CKU25-No19B"
"zcrm_7345477000025677735","CRKUSR-07B-5.4S","CRKUSR-07B-5.4S","020921000","CKU21-No04C"
"zcrm_7345477000025677823","CRKUSRC-07B-5.4S","CRKUSRC-07B-5.4S","021038000","CKU22-No04C"
"zcrm_7345477000025727264","CRKUF-10C-5.75","CRKUF-10C-5.75","022083000","CKU33-No29B"
"zcrm_7345477000025727330","CRKUFC-10C-5.75","CRKUFC-10C-5.75","022201000","CKU34-No29B"
"zcrm_7345477000025727882","CRKUR-10C-5.4","CRKUR-10C-5.4","030655000","CKU23-No17B"
"zcrm_7345477000025678000","CRKURC-10C-5.4S","CRKURC-10C-5.4S","021451000","CKU24-No05C"
"zcrm_7345477000025727181","CRKURCT-22C-5.4S","CRKURCT-22C-5.4S","021818000","CKU26-No10C"
"zcrm_7345477000025728055","CRKURT-22C-5.4","CRKURT-22C-5.4","031220000","CKU25-No21B"
"zcrm_7345477000025677736","CRKUSR-10B-5.4S","CRKUSR-10B-5.4S","020922000","CKU21-No05C"
"zcrm_7345477000025677824","CRKUSRC-10B-5.4S","CRKUSRC-10B-5.4S","021039000","CKU22-No05C"
"zcrm_7345477000025727265","CRKUF-12C-5.75","CRKUF-12C-5.75","022084000","CKU33-No30B"
"zcrm_7345477000025727331","CRKUFC-12C-5.75","CRKUFC-12C-5.75","022202000","CKU34-No30B"
"zcrm_7345477000025727883","CRKUR-12C-5.4","CRKUR-12C-5.4","030656000","CKU23-No18B"
"zcrm_7345477000025727001","CRKURC-12C-5.4S","CRKURC-12C-5.4S","021452000","CKU24-No06C"
"zcrm_7345477000025727182","CRKURCT-26C-5.4S","CRKURCT-26C-5.4S","021819000","CKU26-No11C"
"zcrm_7345477000025728056","CRKURT-26C-5.4","CRKURT-26C-5.4","031221000","CKU25-No22B"
"zcrm_7345477000025677737","CRKUSR-12B-5.4S","CRKUSR-12B-5.4S","020923000","CKU21-No06C"
"zcrm_7345477000025677825","CRKUSRC-12B-5.4S","CRKUSRC-12B-5.4S","021044000","CKU22-No06C"
"zcrm_7345477000025727266","CRKUF-15C-5.75","CRKUF-15C-5.75","022085000","CKU33-No31B"
"zcrm_7345477000025727332","CRKUFC-15C-5.75","CRKUFC-15C-5.75","022203000","CKU34-No31B"
"zcrm_7345477000025727884","CRKUR-15C-5.4","CRKUR-15C-5.4","030657000","CKU23-No19B"
"zcrm_7345477000025727002","CRKURC-15C-5.4S","CRKURC-15C-5.4S","021453000","CKU24-No07C"
"zcrm_7345477000025727997","CRKURCT-04C-5.4","CRKURCT-04C-5.4","031155000","CKU26-No12B"
"zcrm_7345477000025727096","CRKURT-04C-5.75","CRKURT-04C-5.75","021627000","CKU35-No01C"
"zcrm_7345477000025677738","CRKUSR-15B-5.4S","CRKUSR-15B-5.4S","020924000","CKU21-No07C"
"zcrm_7345477000025677826","CRKUSRC-15B-5.4S","CRKUSRC-15B-5.4S","021062000","CKU22-No07C"
"zcrm_7345477000025727267","CRKUF-17C-5.75","CRKUF-17C-5.75","022086000","CKU33-No32B"
"zcrm_7345477000025727333","CRKUFC-17C-5.75","CRKUFC-17C-5.75","022204000","CKU34-No32B"
"zcrm_7345477000025727885","CRKUR-17C-5.4","CRKUR-17C-5.4","030658000","CKU23-No20B"
"zcrm_7345477000025727003","CRKURC-17C-5.4S","CRKURC-17C-5.4S","021454000","CKU24-No08C"
"zcrm_7345477000025727998","CRKURCT-06C-5.4","CRKURCT-06C-5.4","031156000","CKU26-No13B"
"zcrm_7345477000025727097","CRKURT-06C-5.75","CRKURT-06C-5.75","021628000","CKU35-No02C"
"zcrm_7345477000025677739","CRKUSR-17B-5.4S","CRKUSR-17B-5.4S","020925000","CKU21-No08C"
"zcrm_7345477000025677827","CRKUSRC-17B-5.4S","CRKUSRC-17B-5.4S","021063000","CKU22-No08C"
"zcrm_7345477000025727268","CRKUF-18C-5.75","CRKUF-18C-5.75","022087000","CKU33-No33B"
"zcrm_7345477000025727334","CRKUFC-18C-5.75","CRKUFC-18C-5.75","022205000","CKU34-No33B"
"zcrm_7345477000025727886","CRKUR-18C-5.4","CRKUR-18C-5.4","030659000","CKU23-No21B"
"zcrm_7345477000025727004","CRKURC-18C-5.4S","CRKURC-18C-5.4S","021455000","CKU24-No09C"
"zcrm_7345477000025727999","CRKURCT-07C-5.4","CRKURCT-07C-5.4","031157000","CKU26-No14B"
"zcrm_7345477000025727098","CRKURT-07C-5.75","CRKURT-07C-5.75","021629000","CKU35-No03C"
"zcrm_7345477000025677740","CRKUSR-18B-5.4S","CRKUSR-18B-5.4S","020927000","CKU21-No09C"
"zcrm_7345477000025677828","CRKUSRC-18B-5.4S","CRKUSRC-18B-5.4S","021064000","CKU22-No09C"
"zcrm_7345477000025727269","CRKUF-22C-5.75","CRKUF-22C-5.75","022089000","CKU33-No35B"
"zcrm_7345477000025727335","CRKUFC-22C-5.75","CRKUFC-22C-5.75","022209000","CKU34-No35B"
"zcrm_7345477000025727887","CRKUR-22C-5.4","CRKUR-22C-5.4","030661000","CKU23-No23B"
"zcrm_7345477000025727005","CRKURC-22C-5.4S","CRKURC-22C-5.4S","021457000","CKU24-No11C"
"zcrm_7345477000025728000","CRKURCT-10C-5.4","CRKURCT-10C-5.4","031158000","CKU26-No15B"
"zcrm_7345477000025727099","CRKURT-10C-5.75","CRKURT-10C-5.75","021630000","CKU35-No04C"
"zcrm_7345477000025677741","CRKUSR-22B-5.4S","CRKUSR-22B-5.4S","020929000","CKU21-No11C"
"zcrm_7345477000025677829","CRKUSRC-22B-5.4S","CRKUSRC-22B-5.4S","021066000","CKU22-No11C"
"zcrm_7345477000025727270","CRKUF-26C-5.75","CRKUF-26C-5.75","022090000","CKU33-No36B"
"zcrm_7345477000025727336","CRKUFC-26C-5.75","CRKUFC-26C-5.75","022210000","CKU34-No36B"
"zcrm_7345477000025727888","CRKUR-26C-5.4","CRKUR-26C-5.4","030662000","CKU23-No24B"
"zcrm_7345477000025727006","CRKURC-26C-5.4S","CRKURC-26C-5.4S","021458000","CKU24-No12C"
"zcrm_7345477000025728001","CRKURCT-12C-5.4","CRKURCT-12C-5.4","031159000","CKU26-No16B"
"zcrm_7345477000025727100","CRKURT-12C-5.75","CRKURT-12C-5.75","021631000","CKU35-No05C"
"zcrm_7345477000025677742","CRKUSR-26B-5.4S","CRKUSR-26B-5.4S","020930000","CKU21-No12C"
"zcrm_7345477000025677830","CRKUSRC-26B-5.4S","CRKUSRC-26B-5.4S","021067000","CKU22-No12C"
"zcrm_7345477000025677919","CRKUR-02C-5.75","CRKUR-02C-5.75","021315000","CKU33-No01C"
"zcrm_7345477000025727933","CRKURC-02C-5.4","CRKURC-02C-5.4","030958000","CKU24-No13B"
"zcrm_7345477000025728002","CRKURCT-15C-5.4","CRKURCT-15C-5.4","031160000","CKU26-No17B"
"zcrm_7345477000025727101","CRKURT-15C-5.75","CRKURT-15C-5.75","021632000","CKU35-No06C"
"zcrm_7345477000025728099","CRKUSR-02B-5.4","CRKUSR-02B-5.4","031268000","CKU21-No13B"
"zcrm_7345477000025728165","CRKUSRC-02B-5.4","CRKUSRC-02B-5.4","031350000","CKU22-No13B"
"zcrm_7345477000025677920","CRKUR-04C-5.75","CRKUR-04C-5.75","021317000","CKU33-No02C"
"zcrm_7345477000025727934","CRKURC-04C-5.4","CRKURC-04C-5.4","030959000","CKU24-No14B"
"zcrm_7345477000025728003","CRKURCT-17C-5.4","CRKURCT-17C-5.4","031161000","CKU26-No18B"
"zcrm_7345477000025727102","CRKURT-17C-5.75","CRKURT-17C-5.75","021633000","CKU35-No07C"
"zcrm_7345477000025728100","CRKUSR-04B-5.4","CRKUSR-04B-5.4","031269000","CKU21-No14B"
"zcrm_7345477000025728166","CRKUSRC-04B-5.4","CRKUSRC-04B-5.4","031351000","CKU22-No14B"
"zcrm_7345477000025677921","CRKUR-06C-5.75","CRKUR-06C-5.75","021318000","CKU33-No03C"
"zcrm_7345477000025727935","CRKURC-06C-5.4","CRKURC-06C-5.4","030960000","CKU24-No15B"
"zcrm_7345477000025728004","CRKURCT-18C-5.4","CRKURCT-18C-5.4","031162000","CKU26-No19B"
"zcrm_7345477000025727103","CRKURT-18C-5.75","CRKURT-18C-5.75","021634000","CKU35-No08C"
"zcrm_7345477000025728101","CRKUSR-06B-5.4","CRKUSR-06B-5.4","031270000","CKU21-No15B"
"zcrm_7345477000025728167","CRKUSRC-06B-5.4","CRKUSRC-06B-5.4","031352000","CKU22-No15B"
"zcrm_7345477000025677922","CRKUR-07C-5.75","CRKUR-07C-5.75","021319000","CKU33-No04C"
"zcrm_7345477000025727936","CRKURC-07C-5.4","CRKURC-07C-5.4","030961000","CKU24-No16B"
"zcrm_7345477000025728005","CRKURCT-22C-5.4","CRKURCT-22C-5.4","031164000","CKU26-No21B"
"zcrm_7345477000025727104","CRKURT-22C-5.75","CRKURT-22C-5.75","021643000","CKU35-No10C"
"zcrm_7345477000025728102","CRKUSR-07B-5.4","CRKUSR-07B-5.4","031271000","CKU21-No16B"
"zcrm_7345477000025728168","CRKUSRC-07B-5.4","CRKUSRC-07B-5.4","031353000","CKU22-No16B"
"zcrm_7345477000025677923","CRKUR-10C-5.75","CRKUR-10C-5.75","021320000","CKU33-No05C"
"zcrm_7345477000025727937","CRKURC-10C-5.4","CRKURC-10C-5.4","030963000","CKU24-No17B"
"zcrm_7345477000025728006","CRKURCT-26C-5.4","CRKURCT-26C-5.4","031165000","CKU26-No22B"
"zcrm_7345477000025727105","CRKURT-26C-5.75","CRKURT-26C-5.75","021646000","CKU35-No11C"
"zcrm_7345477000025728103","CRKUSR-10B-5.4","CRKUSR-10B-5.4","031272000","CKU21-No17B"
"zcrm_7345477000025728169","CRKUSRC-10B-5.4","CRKUSRC-10B-5.4","031354000","CKU22-No17B"
"zcrm_7345477000025677924","CRKUR-12C-5.75","CRKUR-12C-5.75","021321000","CKU33-No06C"
"zcrm_7345477000025727938","CRKURC-12C-5.4","CRKURC-12C-5.4","031000000","CKU24-No18B"
"zcrm_7345477000025727184","CRKURCT-04C-5.75","CRKURCT-04C-5.75","021821000","CKU36-No01C"
"zcrm_7345477000025728104","CRKUSR-12B-5.4","CRKUSR-12B-5.4","031273000","CKU21-No18B"
"zcrm_7345477000025728170","CRKUSRC-12B-5.4","CRKUSRC-12B-5.4","031355000","CKU22-No18B"
"zcrm_7345477000025677925","CRKUR-15C-5.75","CRKUR-15C-5.75","021322000","CKU33-No07C"
"zcrm_7345477000025727939","CRKURC-15C-5.4","CRKURC-15C-5.4","031006000","CKU24-No19B"
"zcrm_7345477000025727185","CRKURCT-06C-5.75","CRKURCT-06C-5.75","021822000","CKU36-No02C"
"zcrm_7345477000025728105","CRKUSR-15B-5.4","CRKUSR-15B-5.4","031274000","CKU21-No19B"
"zcrm_7345477000025728171","CRKUSRC-15B-5.4","CRKUSRC-15B-5.4","031356000","CKU22-No19B"
"zcrm_7345477000025677926","CRKUR-17C-5.75","CRKUR-17C-5.75","021323000","CKU33-No08C"
"zcrm_7345477000025727940","CRKURC-17C-5.4","CRKURC-17C-5.4","031026000","CKU24-No20B"
"zcrm_7345477000025727186","CRKURCT-07C-5.75","CRKURCT-07C-5.75","021823000","CKU36-No03C"
"zcrm_7345477000025728106","CRKUSR-17B-5.4","CRKUSR-17B-5.4","031275000","CKU21-No20B"
"zcrm_7345477000025728172","CRKUSRC-17B-5.4","CRKUSRC-17B-5.4","031357000","CKU22-No20B"
"zcrm_7345477000025677927","CRKUR-18C-5.75","CRKUR-18C-5.75","021324000","CKU33-No09C"
"zcrm_7345477000025727941","CRKURC-18C-5.4","CRKURC-18C-5.4","031028000","CKU24-No21B"
"zcrm_7345477000025727187","CRKURCT-10C-5.75","CRKURCT-10C-5.75","021824000","CKU36-No04C"
"zcrm_7345477000025728107","CRKUSR-18B-5.4","CRKUSR-18B-5.4","031276000","CKU21-No21B"
"zcrm_7345477000025728173","CRKUSRC-18B-5.4","CRKUSRC-18B-5.4","031358000","CKU22-No21B"
"zcrm_7345477000025677928","CRKUR-22C-5.75","CRKUR-22C-5.75","021326000","CKU33-No11C"
"zcrm_7345477000025727942","CRKURC-22C-5.4","CRKURC-22C-5.4","031034000","CKU24-No23B"
"zcrm_7345477000025727188","CRKURCT-12C-5.75","CRKURCT-12C-5.75","021825000","CKU36-No05C"
"zcrm_7345477000025728108","CRKUSR-22B-5.4","CRKUSR-22B-5.4","031278000","CKU21-No23B"
"zcrm_7345477000025728174","CRKUSRC-22B-5.4","CRKUSRC-22B-5.4","031360000","CKU22-No23B"
"zcrm_7345477000025677929","CRKUR-26C-5.75","CRKUR-26C-5.75","021327000","CKU33-No12C"
"zcrm_7345477000025727943","CRKURC-26C-5.4","CRKURC-26C-5.4","031068000","CKU24-No24B"
"zcrm_7345477000025727189","CRKURCT-15C-5.75","CRKURCT-15C-5.75","021826000","CKU36-No06C"
"zcrm_7345477000025728109","CRKUSR-26B-5.4","CRKUSR-26B-5.4","031279000","CKU21-No24B"
"zcrm_7345477000025728175","CRKUSRC-26B-5.4","CRKUSRC-26B-5.4","031361000","CKU22-No24B"
"zcrm_7345477000025727007","CRKURC-02C-5.75","CRKURC-02C-5.75","021459000","CKU34-No01C"
"zcrm_7345477000025727190","CRKURCT-17C-5.75","CRKURCT-17C-5.75","021845000","CKU36-No07C"
"zcrm_7345477000025677743","CRKUSR-02B-5.75","CRKUSR-02B-5.75","020931000","CKU31-No01C"
"zcrm_7345477000025677831","CRKUSRC-02B-5.75","CRKUSRC-02B-5.75","021068000","CKU32-No01C"
"zcrm_7345477000025727008","CRKURC-04C-5.75","CRKURC-04C-5.75","021460000","CKU34-No02C"
"zcrm_7345477000025727191","CRKURCT-18C-5.75","CRKURCT-18C-5.75","021847000","CKU36-No08C"
"zcrm_7345477000025677744","CRKUSR-04B-5.75","CRKUSR-04B-5.75","020934000","CKU31-No02C"
"zcrm_7345477000025677832","CRKUSRC-04B-5.75","CRKUSRC-04B-5.75","021069000","CKU32-No02C"
"zcrm_7345477000025727009","CRKURC-06C-5.75","CRKURC-06C-5.75","021462000","CKU34-No03C"
"zcrm_7345477000025727192","CRKURCT-22C-5.75","CRKURCT-22C-5.75","021850000","CKU36-No10C"
"zcrm_7345477000025677745","CRKUSR-06B-5.75","CRKUSR-06B-5.75","020937000","CKU31-No03C"
"zcrm_7345477000025677833","CRKUSRC-06B-5.75","CRKUSRC-06B-5.75","021070000","CKU32-No03C"
"zcrm_7345477000025727010","CRKURC-07C-5.75","CRKURC-07C-5.75","021463000","CKU34-No04C"
"zcrm_7345477000025727193","CRKURCT-26C-5.75","CRKURCT-26C-5.75","021851000","CKU36-No11C"
"zcrm_7345477000025677746","CRKUSR-07B-5.75","CRKUSR-07B-5.75","020939000","CKU31-No04C"
"zcrm_7345477000025677834","CRKUSRC-07B-5.75","CRKUSRC-07B-5.75","021071000","CKU32-No04C"
"zcrm_7345477000025727011","CRKURC-10C-5.75","CRKURC-10C-5.75","021464000","CKU34-No05C"
"zcrm_7345477000025677747","CRKUSR-10B-5.75","CRKUSR-10B-5.75","020940000","CKU31-No05C"
"zcrm_7345477000025677835","CRKUSRC-10B-5.75","CRKUSRC-10B-5.75","021072000","CKU32-No05C"
"zcrm_7345477000025727012","CRKURC-12C-5.75","CRKURC-12C-5.75","021465000","CKU34-No06C"
"zcrm_7345477000025677748","CRKUSR-12B-5.75","CRKUSR-12B-5.75","020941000","CKU31-No06C"
"zcrm_7345477000025677836","CRKUSRC-12B-5.75","CRKUSRC-12B-5.75","021073000","CKU32-No06C"
"zcrm_7345477000025727013","CRKURC-15C-5.75","CRKURC-15C-5.75","021472000","CKU34-No07C"
"zcrm_7345477000025677749","CRKUSR-15B-5.75","CRKUSR-15B-5.75","020942000","CKU31-No07C"
"zcrm_7345477000025677837","CRKUSRC-15B-5.75","CRKUSRC-15B-5.75","021074000","CKU32-No07C"
"zcrm_7345477000025727014","CRKURC-17C-5.75","CRKURC-17C-5.75","021473000","CKU34-No08C"
"zcrm_7345477000025677750","CRKUSR-17B-5.75","CRKUSR-17B-5.75","020943000","CKU31-No08C"
"zcrm_7345477000025677838","CRKUSRC-17B-5.75","CRKUSRC-17B-5.75","021075000","CKU32-No08C"
"zcrm_7345477000025727015","CRKURC-18C-5.75","CRKURC-18C-5.75","021474000","CKU34-No09C"
"zcrm_7345477000025677751","CRKUSR-18B-5.75","CRKUSR-18B-5.75","020944000","CKU31-No09C"
"zcrm_7345477000025677839","CRKUSRC-18B-5.75","CRKUSRC-18B-5.75","021076000","CKU32-No09C"
"zcrm_7345477000025727016","CRKURC-22C-5.75","CRKURC-22C-5.75","021476000","CKU34-No11C"
"zcrm_7345477000025677752","CRKUSR-22B-5.75","CRKUSR-22B-5.75","020946000","CKU31-No11C"
"zcrm_7345477000025677840","CRKUSRC-22B-5.75","CRKUSRC-22B-5.75","021078000","CKU32-No11C"
"zcrm_7345477000025727017","CRKURC-26C-5.75","CRKURC-26C-5.75","021477000","CKU34-No12C"
"zcrm_7345477000025677753","CRKUSR-26B-5.75","CRKUSR-26B-5.75","020947000","CKU31-No12C"
"zcrm_7345477000025677841","CRKUSRC-26B-5.75","CRKUSRC-26B-5.75","021079000","CKU32-No12C"
"zcrm_7345477000025727271","CRKUF-02C-6.25S","CRKUF-02C-6.25S","022094000","CKU13-No25B"
"zcrm_7345477000025727337","CRKUFC-02C-6.25S","CRKUFC-02C-6.25S","022211000","CKU14-No25B"
"zcrm_7345477000025727451","CRKUFCT-06D-6.25S","CRKUFCT-06D-6.25S","022404000","CKU16-No23B"
"zcrm_7345477000025727397","CRKUFT-06D-6.25S","CRKUFT-06D-6.25S","022297000","CKU15-No23B"
"zcrm_7345477000025677930","CRKUR-02C-6.15S","CRKUR-02C-6.15S","021328000","CKU03-No01C"
"zcrm_7345477000025727018","CRKURC-02C-6.15S","CRKURC-02C-6.15S","021478000","CKU04-No01C"
"zcrm_7345477000025727195","CRKURCT-04C-6.15S","CRKURCT-04C-6.15S","021853000","CKU06-No01C"
"zcrm_7345477000025727107","CRKURT-04C-6.15S","CRKURT-04C-6.15S","021662000","CKU05-No01C"
"zcrm_7345477000025677754","CRKUSR-02B-6.15S","CRKUSR-02B-6.15S","020948000","CKU01-No01B"
"zcrm_7345477000025677842","CRKUSRC-02B-6.15S","CRKUSRC-02B-6.15S","021080000","CKU02-No01C"
"zcrm_7345477000025727272","CRKUF-04C-6.25S","CRKUF-04C-6.25S","022096000","CKU13-No26B"
"zcrm_7345477000025727338","CRKUFC-04C-6.25S","CRKUFC-04C-6.25S","022212000","CKU14-No26B"
"zcrm_7345477000025727452","CRKUFCT-07D-6.25S","CRKUFCT-07D-6.25S","022405000","CKU16-No24B"
"zcrm_7345477000025727398","CRKUFT-07D-6.25S","CRKUFT-07D-6.25S","022298000","CKU15-No24B"
"zcrm_7345477000025677931","CRKUR-04C-6.15S","CRKUR-04C-6.15S","021329000","CKU03-No02C"
"zcrm_7345477000025727019","CRKURC-04C-6.15S","CRKURC-04C-6.15S","021479000","CKU04-No02C"
"zcrm_7345477000025727196","CRKURCT-06C-6.15S","CRKURCT-06C-6.15S","021855000","CKU06-No02C"
"zcrm_7345477000025727108","CRKURT-06C-6.15S","CRKURT-06C-6.15S","021664000","CKU05-No02C"
"zcrm_7345477000025677755","CRKUSR-04B-6.15S","CRKUSR-04B-6.15S","020949000","CKU01-No02B"
"zcrm_7345477000025677843","CRKUSRC-04B-6.15S","CRKUSRC-04B-6.15S","021081000","CKU02-No02C"
"zcrm_7345477000025727273","CRKUF-06C-6.25S","CRKUF-06C-6.25S","022097000","CKU13-No27B"
"zcrm_7345477000025727339","CRKUFC-06C-6.25S","CRKUFC-06C-6.25S","022213000","CKU14-No27B"
"zcrm_7345477000025727453","CRKUFCT-10D-6.25S","CRKUFCT-10D-6.25S","022414000","CKU16-No25B"
"zcrm_7345477000025727399","CRKUFT-10D-6.25S","CRKUFT-10D-6.25S","022299000","CKU15-No25B"
"zcrm_7345477000025677932","CRKUR-06C-6.15S","CRKUR-06C-6.15S","021330000","CKU03-No03C"
"zcrm_7345477000025727020","CRKURC-06C-6.15S","CRKURC-06C-6.15S","021480000","CKU04-No03C"
"zcrm_7345477000025727197","CRKURCT-07C-6.15S","CRKURCT-07C-6.15S","021856000","CKU06-No03C"
"zcrm_7345477000025727109","CRKURT-07C-6.15S","CRKURT-07C-6.15S","021668000","CKU05-No03C"
"zcrm_7345477000025677756","CRKUSR-06B-6.15S","CRKUSR-06B-6.15S","020950000","CKU01-No03B"
"zcrm_7345477000025677844","CRKUSRC-06B-6.15S","CRKUSRC-06B-6.15S","021082000","CKU02-No03C"
"zcrm_7345477000025727274","CRKUF-07C-6.25S","CRKUF-07C-6.25S","022098000","CKU13-No28B"
"zcrm_7345477000025727340","CRKUFC-07C-6.25S","CRKUFC-07C-6.25S","022214000","CKU14-No28B"
"zcrm_7345477000025727454","CRKUFCT-12D-6.25S","CRKUFCT-12D-6.25S","022415000","CKU16-No26B"
"zcrm_7345477000025727400","CRKUFT-12D-6.25S","CRKUFT-12D-6.25S","022300000","CKU15-No26B"
"zcrm_7345477000025677933","CRKUR-07C-6.15S","CRKUR-07C-6.15S","021331000","CKU03-No04C"
"zcrm_7345477000025727021","CRKURC-07C-6.15S","CRKURC-07C-6.15S","021481000","CKU04-No04C"
"zcrm_7345477000025727198","CRKURCT-10C-6.15S","CRKURCT-10C-6.15S","021857000","CKU06-No04C"
"zcrm_7345477000025727110","CRKURT-10C-6.15S","CRKURT-10C-6.15S","021669000","CKU05-No04C"
"zcrm_7345477000025677757","CRKUSR-07B-6.15S","CRKUSR-07B-6.15S","020952000","CKU01-No04B"
"zcrm_7345477000025677845","CRKUSRC-07B-6.15S","CRKUSRC-07B-6.15S","021096000","CKU02-No04C"
"zcrm_7345477000025727275","CRKUF-10C-6.25S","CRKUF-10C-6.25S","022099000","CKU13-No29B"
"zcrm_7345477000025727341","CRKUFC-10C-6.25S","CRKUFC-10C-6.25S","022215000","CKU14-No29B"
"zcrm_7345477000025727455","CRKUFCT-15D-6.25S","CRKUFCT-15D-6.25S","022416000","CKU16-No27B"
"zcrm_7345477000025727401","CRKUFT-15D-6.25S","CRKUFT-15D-6.25S","022301000","CKU15-No27B"
"zcrm_7345477000025677934","CRKUR-10C-6.15S","CRKUR-10C-6.15S","021332000","CKU03-No05C"
"zcrm_7345477000025727022","CRKURC-10C-6.15S","CRKURC-10C-6.15S","021482000","CKU04-No05C"
"zcrm_7345477000025727199","CRKURCT-12C-6.15S","CRKURCT-12C-6.15S","021858000","CKU06-No05C"
"zcrm_7345477000025727111","CRKURT-12C-6.15S","CRKURT-12C-6.15S","021670000","CKU05-No05C"
"zcrm_7345477000025677758","CRKUSR-10B-6.15S","CRKUSR-10B-6.15S","020953000","CKU01-No05B"
"zcrm_7345477000025677846","CRKUSRC-10B-6.15S","CRKUSRC-10B-6.15S","021108000","CKU02-No05C"
"zcrm_7345477000025727276","CRKUF-12C-6.25S","CRKUF-12C-6.25S","022100000","CKU13-No30B"
"zcrm_7345477000025727342","CRKUFC-12C-6.25S","CRKUFC-12C-6.25S","022216000","CKU14-No30B"
"zcrm_7345477000025727456","CRKUFCT-17D-6.25S","CRKUFCT-17D-6.25S","022417000","CKU16-No28B"
"zcrm_7345477000025727402","CRKUFT-17D-6.25S","CRKUFT-17D-6.25S","022302000","CKU15-No28B"
"zcrm_7345477000025677935","CRKUR-12C-6.15S","CRKUR-12C-6.15S","021333000","CKU03-No06C"
"zcrm_7345477000025727023","CRKURC-12C-6.15S","CRKURC-12C-6.15S","021483000","CKU04-No06C"
"zcrm_7345477000025727200","CRKURCT-15C-6.15S","CRKURCT-15C-6.15S","021859000","CKU06-No06C"
"zcrm_7345477000025727112","CRKURT-15C-6.15S","CRKURT-15C-6.15S","021671000","CKU05-No06C"
"zcrm_7345477000025677759","CRKUSR-12B-6.15S","CRKUSR-12B-6.15S","020954000","CKU01-No06B"
"zcrm_7345477000025677847","CRKUSRC-12B-6.15S","CRKUSRC-12B-6.15S","021113000","CKU02-No06C"
"zcrm_7345477000025727277","CRKUF-15C-6.25S","CRKUF-15C-6.25S","022101000","CKU13-No31B"
"zcrm_7345477000025727343","CRKUFC-15C-6.25S","CRKUFC-15C-6.25S","022217000","CKU14-No31B"
"zcrm_7345477000025727457","CRKUFCT-18D-6.25S","CRKUFCT-18D-6.25S","022418000","CKU16-No29B"
"zcrm_7345477000025727403","CRKUFT-18D-6.25S","CRKUFT-18D-6.25S","022303000","CKU15-No29B"
"zcrm_7345477000025677936","CRKUR-15C-6.15S","CRKUR-15C-6.15S","021334000","CKU03-No07C"
"zcrm_7345477000025727024","CRKURC-15C-6.15S","CRKURC-15C-6.15S","021484000","CKU04-No07C"
"zcrm_7345477000025727201","CRKURCT-17C-6.15S","CRKURCT-17C-6.15S","021860000","CKU06-No07C"
"zcrm_7345477000025727113","CRKURT-17C-6.15S","CRKURT-17C-6.15S","021672000","CKU05-No07C"
"zcrm_7345477000025677760","CRKUSR-15B-6.15S","CRKUSR-15B-6.15S","020955000","CKU01-No07B"
